zip_code,year,dob_calls_311
10309,2023 ,151
10310,2011 ,258
10310,2012 ,222
10310,2013 ,185
10310,2014 ,219
10310,2015 ,204
10310,2016 ,288
10310,2017 ,297
10310,2018 ,334
10310,2019 ,268
10310,2020 ,206
10310,2021 ,222
10310,2022 ,193
10310,2023 ,96
10312,2011 ,546
10312,2012 ,444
10312,2013 ,451
10312,2014 ,400
10312,2015 ,463
10312,2016 ,441
10312,2017 ,520
10312,2018 ,520
10312,2019 ,621
10312,2020 ,512
10312,2021 ,637
10312,2022 ,611
10312,2023 ,359
10314,2011 ,747
10314,2012 ,672
10314,2013 ,634
10314,2014 ,547
10314,2015 ,475
10314,2016 ,636
10314,2017 ,820
10314,2018 ,907
10314,2019 ,901
10314,2020 ,533
10314,2021 ,736
10314,2022 ,633
10314,2023 ,403
10451,2011 ,399
10451,2012 ,368
10451,2013 ,367
10451,2014 ,301
10451,2015 ,360
10451,2016 ,485
10451,2017 ,536
10451,2018 ,508
10451,2019 ,635
10451,2020 ,405
10451,2021 ,446
10451,2022 ,572
10451,2023 ,426
10452,2011 ,457
10452,2012 ,638
10452,2013 ,591
10452,2014 ,537
10452,2015 ,729
10452,2016 ,1064
10452,2017 ,868
10452,2018 ,1012
10452,2019 ,900
10452,2020 ,725
10452,2021 ,760
10452,2022 ,776
10452,2023 ,520
10453,2011 ,695
10453,2012 ,514
10453,2013 ,622
10453,2014 ,597
10453,2015 ,793
10453,2016 ,848
10453,2017 ,1144
10453,2018 ,1096
10453,2019 ,1052
10453,2020 ,831
10453,2021 ,819
10453,2022 ,798
10453,2023 ,434
10454,2011 ,268
10454,2012 ,188
10454,2013 ,244
10454,2014 ,271
10454,2015 ,369
10454,2016 ,355
10454,2017 ,444
10454,2018 ,473
10454,2019 ,457
10454,2020 ,279
10454,2021 ,312
10454,2022 ,326
10454,2023 ,211
10455,2011 ,324
10455,2012 ,263
10455,2013 ,260
10455,2014 ,289
10455,2015 ,260
10455,2016 ,412
10455,2017 ,415
10455,2018 ,493
10455,2019 ,453
10455,2020 ,275
10455,2021 ,269
10455,2022 ,334
10455,2023 ,179
10456,2011 ,558
10456,2012 ,538
10456,2013 ,510
10456,2014 ,564
10456,2015 ,582
10456,2016 ,685
10456,2017 ,719
10456,2018 ,991
10456,2019 ,994
10456,2020 ,751
10456,2021 ,911
10456,2022 ,686
10456,2023 ,407
10457,2011 ,601
10457,2012 ,604
10457,2013 ,596
10457,2014 ,622
10457,2015 ,588
10457,2016 ,705
10457,2017 ,872
10457,2018 ,957
10457,2019 ,1091
10457,2020 ,708
10457,2021 ,835
10457,2022 ,826
10457,2023 ,514
10458,2011 ,629
10458,2012 ,605
10458,2013 ,625
10458,2014 ,627
10458,2015 ,592
10458,2016 ,718
10458,2017 ,785
10458,2018 ,824
10458,2019 ,813
10458,2020 ,588
10458,2021 ,774
10458,2022 ,807
10458,2023 ,467
10459,2011 ,438
10459,2012 ,353
10459,2013 ,345
10459,2014 ,382
10459,2015 ,440
10459,2016 ,523
10459,2017 ,623
10459,2018 ,580
10459,2019 ,625
10459,2020 ,381
10459,2021 ,430
10459,2022 ,530
10459,2023 ,227
10460,2011 ,479
10460,2012 ,417
10460,2013 ,411
10460,2014 ,538
10460,2015 ,483
10460,2016 ,554
10460,2017 ,608
10460,2018 ,633
10460,2019 ,635
10460,2020 ,560
10460,2021 ,506
10460,2022 ,630
10460,2023 ,319
10461,2011 ,493
10461,2012 ,586
10461,2013 ,511
10461,2014 ,551
10461,2015 ,598
10461,2016 ,757
10461,2017 ,805
10461,2018 ,798
10461,2019 ,824
10461,2020 ,576
10461,2021 ,531
10461,2022 ,482
10461,2023 ,314
10462,2011 ,610
10462,2012 ,563
10462,2013 ,535
10462,2014 ,566
10462,2015 ,664
10462,2016 ,575
10462,2017 ,729
10462,2018 ,869
10462,2019 ,881
10462,2020 ,705
10462,2021 ,861
10462,2022 ,972
10462,2023 ,719
10463,2011 ,506
10463,2012 ,542
10463,2013 ,527
10463,2014 ,395
10463,2015 ,484
10463,2016 ,648
10463,2017 ,723
10463,2018 ,739
10463,2019 ,653
10463,2020 ,540
10463,2021 ,612
10463,2022 ,627
10463,2023 ,345
10464,2011 ,97
10464,2012 ,66
10464,2013 ,121
10464,2014 ,85
10464,2015 ,81
10464,2016 ,143
10464,2017 ,128
10464,2018 ,71
10464,2019 ,110
10464,2020 ,106
10464,2021 ,144
10464,2022 ,151
10464,2023 ,37
10465,2011 ,383
10465,2012 ,386
10465,2013 ,321
10465,2014 ,378
10465,2015 ,372
10465,2016 ,456
10465,2017 ,639
10465,2018 ,593
10465,2019 ,483
10465,2020 ,414
10465,2021 ,415
10465,2022 ,454
10465,2023 ,202
10466,2011 ,585
10466,2012 ,570
10466,2013 ,504
10466,2014 ,542
10466,2015 ,508
10466,2016 ,513
10466,2017 ,595
10466,2018 ,726
10466,2019 ,714
10466,2020 ,460
10466,2021 ,488
10466,2022 ,555
10466,2023 ,295
10467,2011 ,844
10467,2012 ,794
10467,2013 ,883
10467,2014 ,896
10467,2015 ,858
10467,2016 ,1030
10467,2017 ,1075
10467,2018 ,1341
10467,2019 ,1236
10467,2020 ,875
10467,2021 ,984
10467,2022 ,958
10467,2023 ,554
10468,2011 ,633
10468,2012 ,569
10468,2013 ,612
10468,2014 ,585
10468,2015 ,673
10468,2016 ,775
10468,2017 ,684
10468,2018 ,690
10468,2019 ,680
10468,2020 ,515
10468,2021 ,615
10468,2022 ,743
10468,2023 ,319
10469,2011 ,572
10469,2012 ,503
10469,2013 ,458
10469,2014 ,542
10469,2015 ,523
10469,2016 ,497
10469,2017 ,580
10469,2018 ,574
10469,2019 ,653
10469,2020 ,461
10469,2021 ,565
10469,2022 ,538
10469,2023 ,297
10470,2011 ,150
10470,2012 ,130
10470,2013 ,149
10470,2014 ,144
10470,2015 ,251
10470,2016 ,246
10470,2017 ,261
10470,2018 ,228
10470,2019 ,182
10470,2020 ,126
10470,2021 ,149
10470,2022 ,192
10470,2023 ,98
10471,2011 ,135
10471,2012 ,129
10471,2013 ,113
10471,2014 ,83
10471,2015 ,142
10471,2016 ,174
10471,2017 ,152
10471,2018 ,246
10471,2019 ,212
10471,2020 ,196
10471,2021 ,187
10471,2022 ,173
10471,2023 ,98
10472,2011 ,640
10472,2012 ,768
10472,2013 ,551
10472,2014 ,581
10472,2015 ,766
10472,2016 ,792
10472,2017 ,749
10472,2018 ,809
10472,2019 ,857
10472,2020 ,566
10472,2021 ,614
10472,2022 ,493
10472,2023 ,281
10473,2011 ,274
10473,2012 ,317
10473,2013 ,313
10473,2014 ,414
10473,2015 ,478
10473,2016 ,447
10473,2017 ,503
10473,2018 ,512
10473,2019 ,552
10473,2020 ,398
10473,2021 ,375
10473,2022 ,361
10473,2023 ,198
10474,2011 ,141
10474,2012 ,166
10474,2013 ,109
10474,2014 ,121
10474,2015 ,128
10474,2016 ,177
10474,2017 ,188
10474,2018 ,168
10474,2019 ,215
10474,2020 ,118
10474,2021 ,81
10474,2022 ,105
10474,2023 ,73
10475,2011 ,47
10475,2012 ,61
10475,2013 ,66
10475,2014 ,86
10475,2015 ,105
10475,2016 ,48
10475,2017 ,92
10475,2018 ,159
10475,2019 ,123
10475,2020 ,90
10475,2021 ,53
10475,2022 ,76
10475,2023 ,44
10803,2011 ,1
11001,2011 ,56
11001,2012 ,72
11001,2013 ,64
11001,2014 ,68
11001,2015 ,44
11001,2016 ,89
11001,2017 ,78
11001,2018 ,187
11001,2019 ,88
11001,2020 ,30
11001,2021 ,43
11001,2022 ,34
11001,2023 ,15
11004,2011 ,161
11004,2012 ,167
11004,2013 ,188
11004,2014 ,173
11004,2015 ,136
11004,2016 ,123
11004,2017 ,158
11004,2018 ,204
11004,2019 ,186
11004,2020 ,108
11004,2021 ,111
11004,2022 ,103
11004,2023 ,62
11005,2011 ,7
11005,2012 ,1
11005,2013 ,2
11005,2014 ,4
11005,2015 ,5
11005,2017 ,5
11005,2018 ,1
11005,2019 ,2
11005,2020 ,4
11005,2021 ,2
11005,2022 ,1
11005,2023 ,2
11040,2011 ,59
11040,2012 ,73
11040,2013 ,63
11040,2014 ,87
11040,2015 ,35
11040,2016 ,29
11040,2017 ,56
11040,2018 ,29
11040,2019 ,43
11040,2020 ,36
11040,2021 ,15
11040,2022 ,20
11040,2023 ,13
11101,2011 ,586
11101,2012 ,832
11101,2013 ,837
11101,2014 ,929
11101,2015 ,968
11101,2016 ,1002
