zip,year,class,count
11412,2011-01-01T00:00:00Z,B,351
11412,2011-01-01T00:00:00Z,C,66
11413,2011-01-01T00:00:00Z,A,47
11413,2011-01-01T00:00:00Z,B,315
11413,2011-01-01T00:00:00Z,C,58
11414,2011-01-01T00:00:00Z,A,14
11414,2011-01-01T00:00:00Z,B,83
11414,2011-01-01T00:00:00Z,C,19
11415,2011-01-01T00:00:00Z,A,36
11415,2011-01-01T00:00:00Z,B,224
11415,2011-01-01T00:00:00Z,C,18
11416,2011-01-01T00:00:00Z,A,26
11416,2011-01-01T00:00:00Z,B,200
11416,2011-01-01T00:00:00Z,C,45
11417,2011-01-01T00:00:00Z,A,37
11417,2011-01-01T00:00:00Z,B,196
11417,2011-01-01T00:00:00Z,C,43
11418,2011-01-01T00:00:00Z,A,87
11418,2011-01-01T00:00:00Z,B,442
11418,2011-01-01T00:00:00Z,C,83
11419,2011-01-01T00:00:00Z,A,40
11419,2011-01-01T00:00:00Z,B,367
11419,2011-01-01T00:00:00Z,C,48
11420,2011-01-01T00:00:00Z,A,44
11420,2011-01-01T00:00:00Z,B,349
11420,2011-01-01T00:00:00Z,C,72
11421,2011-01-01T00:00:00Z,A,61
11421,2011-01-01T00:00:00Z,B,277
11421,2011-01-01T00:00:00Z,C,46
11422,2011-01-01T00:00:00Z,A,20
11422,2011-01-01T00:00:00Z,B,119
11422,2011-01-01T00:00:00Z,C,24
11423,2011-01-01T00:00:00Z,A,70
11423,2011-01-01T00:00:00Z,B,548
11423,2011-01-01T00:00:00Z,C,38
11426,2011-01-01T00:00:00Z,A,10
11426,2011-01-01T00:00:00Z,B,43
11426,2011-01-01T00:00:00Z,C,7
11427,2011-01-01T00:00:00Z,A,19
11427,2011-01-01T00:00:00Z,B,122
11427,2011-01-01T00:00:00Z,C,5
11428,2011-01-01T00:00:00Z,A,7
11428,2011-01-01T00:00:00Z,B,74
11428,2011-01-01T00:00:00Z,C,17
11429,2011-01-01T00:00:00Z,A,30
11429,2011-01-01T00:00:00Z,B,295
11429,2011-01-01T00:00:00Z,C,41
11432,2011-01-01T00:00:00Z,A,119
11432,2011-01-01T00:00:00Z,B,573
11432,2011-01-01T00:00:00Z,C,90
11433,2011-01-01T00:00:00Z,A,73
11433,2011-01-01T00:00:00Z,B,635
11433,2011-01-01T00:00:00Z,C,106
