zip_code,year,evictions,eviction_filings
11370,2019,0,22
11370,2020,0,3
11370,2022,0,6
11370,2023,0,4
11371,2022,0,1
11372,2017,0,142
11372,2018,0,136
11372,2019,0,99
11372,2020,0,11
11372,2021,0,1
11372,2022,0,28
11372,2023,0,26
11373,2017,0,141
11373,2018,0,141
11373,2019,0,93
11373,2020,0,16
11373,2021,1,2
11373,2022,0,19
11373,2023,0,28
11374,2017,0,77
11374,2018,0,73
11374,2019,0,45
11374,2020,0,20
11374,2021,0,7
11374,2022,0,13
11374,2023,0,23
11375,2017,0,70
11375,2018,0,89
11375,2019,0,73
11375,2020,0,4
11375,2022,0,16
11375,2023,0,19
11377,2017,0,104
11377,2018,0,124
11377,2019,0,111
11377,2020,0,15
11377,2022,0,21
11377,2023,0,20
11378,2017,0,55
11378,2018,0,39
11378,2019,0,40
11378,2020,0,8
11378,2022,0,7
11378,2023,0,9
11379,2017,0,29
11379,2018,0,23
11379,2019,0,24
11379,2020,0,1
11379,2022,0,6
11379,2023,0,9
11381,2023,0,1
11384,2017,0,3
11384,2018,0,1
11385,2017,0,202
11385,2018,0,152
11385,2019,0,95
11385,2020,0,28
11385,2021,0,3
11385,2022,0,29
11385,2023,0,33
11411,2017,0,25
11411,2018,0,38
11411,2019,0,37
11411,2020,0,7
11411,2022,0,14
11411,2023,0,17
11412,2017,0,87
11412,2018,0,117
11412,2019,0,99
11412,2020,0,16
11412,2022,0,14
11412,2023,0,19
11413,2017,0,103
11413,2018,0,126
11413,2019,0,91
11413,2020,0,19
11413,2021,0,1
11413,2022,0,25
11413,2023,0,8
11414,2017,0,29
11414,2018,0,29
11414,2019,0,39
11414,2022,0,1
11414,2023,0,5
11415,2017,0,52
11415,2018,0,59
11415,2019,0,46
11415,2020,0,12
11415,2021,0,3
11415,2022,0,7
11415,2023,0,16
11416,2017,0,60
11416,2018,0,58
11416,2019,0,60
11416,2020,0,13
11416,2022,0,8
11416,2023,0,8
11417,2017,0,43
11417,2018,0,53
11417,2019,0,78
11417,2020,0,15
11417,2022,0,5
11417,2023,0,6
11418,2017,0,86
11418,2018,0,65
11418,2019,0,80
11418,2020,0,13
11418,2022,0,21
11418,2023,0,15
11419,2017,0,87
11419,2018,0,65
11419,2019,0,70
11419,2020,0,10
11419,2021,0,1
11419,2022,0,20
11419,2023,0,22
11420,2017,1,91
11420,2018,0,108
11420,2019,0,79
11420,2020,0,10
11420,2022,0,19
11420,2023,0,9
11421,2017,0,60
11421,2018,0,62
11421,2019,0,71
11421,2020,0,15
11421,2022,0,10
11421,2023,0,14
11422,2017,1,78
11422,2018,0,86
11422,2019,0,72
11422,2020,0,17
11422,2022,0,9
11422,2023,0,9
11423,2017,0,82
11423,2018,0,109
11423,2019,0,60
11423,2020,0,14
11423,2022,0,6
11423,2023,0,13
11424,2019,0,3
11426,2017,0,15
11426,2018,1,20
11426,2019,0,8
11426,2020,0,4
11426,2022,0,3
11426,2023,0,2
11427,2017,0,44
11427,2018,0,33
11427,2019,0,25
11427,2020,0,8
11427,2022,0,7
11427,2023,0,3
11428,2017,0,45
11428,2018,0,29
11428,2019,0,29
11428,2020,0,7
11428,2022,0,5
11428,2023,0,7
11429,2017,0,57
11429,2018,0,75
11429,2019,0,70
11429,2020,0,18
11429,2022,0,11
11429,2023,0,9
11430,2019,0,1
11432,2017,0,176
11432,2018,0,179
11432,2019,0,124
11432,2020,0,36
11432,2021,0,2
11432,2022,0,28
11432,2023,0,45
11433,2017,0,169
11433,2018,0,153
11433,2019,0,135
11433,2020,0,12
11433,2021,0,1
11433,2022,0,39
11433,2023,0,24
11434,2017,0,169
11434,2018,1,227
11434,2019,0,175
11434,2020,0,37
11434,2021,0,2
11434,2022,0,39
11434,2023,0,40
11435,2017,0,168
11435,2018,0,158
11435,2019,0,115
11435,2020,0,21
11435,2021,0,1
11435,2022,0,22
11435,2023,0,20
11436,2017,0,46
11436,2018,0,60
11436,2019,0,59
11436,2020,0,14
11436,2021,0,1
11436,2022,0,7
11436,2023,0,12
11439,2017,0,2
11442,2023,0,1
11443,2018,0,1
11514,2019,0,1
11575,2019,0,2
11619,2018,0,1
11691,2017,0,291
11691,2018,0,270
11691,2019,0,259
11691,2020,0,47
11691,2021,0,1
11691,2022,0,39
11691,2023,0,41
11692,2017,0,122
11692,2018,0,117
11692,2019,0,101
11692,2020,0,21
11692,2022,0,9
11692,2023,0,12
11693,2017,0,34
11693,2018,0,37
11693,2019,0,31
11693,2020,0,3
11693,2022,0,3
11693,2023,0,6
11694,2017,0,54
11694,2018,0,43
11694,2019,0,37
11694,2020,0,4
11694,2021,0,3
11694,2022,1,5
11694,2023,0,13
11698,2019,0,1
11753,2017,0,1
12221,2018,0,1
