zip_code,avg_zhvi_2000,avg_zhvi_2001,avg_zhvi_2002,avg_zhvi_2003,avg_zhvi_2004,avg_zhvi_2005,avg_zhvi_2006,avg_zhvi_2007,avg_zhvi_2008,avg_zhvi_2009,avg_zhvi_2010,avg_zhvi_2011,avg_zhvi_2012,avg_zhvi_2013,avg_zhvi_2014,avg_zhvi_2015,avg_zhvi_2016,avg_zhvi_2017,avg_zhvi_2018,avg_zhvi_2019,avg_zhvi_2020,avg_zhvi_2021,avg_zhvi_2022,avg_zhvi_2023
10552,237930.21918333333,268124.2684333333,306622.42419166665,355058.30611666664,401062.54280833335,443502.940175,487455.4692916667,482736.15199166664,465454.64046666666,419596.526475,400436.099125,368721.9184833333,326337.288475,322445.6597083333,350780.56064166664,363034.3327,366238.9048416667,384122.2951666667,401719.239275,424249.0264833333,459653.15054166666,504673.47541666665,530906.503325,533359.6599399999
10553,224655.15879166668,243624.89024166667,280786.468275,319226.20265833335,363196.35661666666,397570.49145833333,469784.3265,465896.6247583333,450449.617125,385427.909075,357009.2089916667,339586.14530833333,292126.80601666664,277519.72699166666,295084.17764166667,308517.56070833333,311639.40255833336,331694.66894999996,352219.63735833333,378359.83009166666,409808.44464166666,448255.5771583333,476151.18,475431.51124
10560,378627.8246,421143.05168333335,467991.7355,528043.6406666667,577119.4056333334,635147.7824416667,675350.1194333333,689855.701075,658069.7367666666,593383.730175,569637.7047166666,532818.8870083333,495622.9243416667,485140.2535916667,514799.14331666665,511874.1077333333,499568.1087666667,518585.11179166666,531441.8586583333,522450.60745,533550.5822166667,594709.3005583333,647777.2928333334,653452.93
10562,242990.34261666666,270369.11919166666,310445.8448833333,346121.46469166665,388148.331275,436591.86291666667,473996.93641666666,458781.50375,442357.05885833333,409881.76036666665,387972.6678,357015.81053333334,333301.7624083333,338153.4655666667,354044.8461833333,361329.11813333334,380081.39526666666,395185.9109166667,411033.99695,423548.48659166665,434565.54579166666,486670.16730833333,529953.138975,542953.8099
10566,147937.08701666666,164366.49745833332,196251.739775,231032.65742499998,255560.79988333333,293941.6169833333,326314.93415,321876.18565833336,307715.50343333336,276036.19676666666,255969.552725,242679.26949166667,228573.33434166666,230915.37976666668,250326.18761666666,254150.05719166665,269751.28535,274870.41234166664,293579.732325,315611.4608666667,338743.32729166665,386166.98705833335,408728.932675,408519.69494
10567,258077.19528333333,285516.40647499997,322090.3897666667,367206.62490833335,398529.1669,449370.76625,486367.01135,472966.86803333333,465667.267325,429727.875825,400889.96456666663,375874.17638333334,349596.4753,355066.6182166667,369243.31614999997,381092.1875416667,385641.2361583333,397762.831925,418424.35005,436603.71384166664,446563.1703416667,486533.99084166664,522837.32200833334,526034.41292
10570,345337.901475,385412.9249,435057.69741666666,502606.6079,561694.4669833333,645238.2816916667,684923.8367916667,666548.2310416667,660951.9847166666,638937.14215,619875.5146083334,598500.3021416666,580498.5458,599879.1808416666,655199.168225,672306.823175,660388.371725,682425.8350083333,709812.1719916667,705966.9743416667,694806.5694416666,757661.2505666667,821529.0120333333,833518.96432
10573,315802.34216666664,357011.07388333336,405492.6221583333,448472.9111083333,495254.14403333334,567489.6821,614454.7873083333,592636.2437666666,566944.1860666666,521522.16485833336,504036.98768333334,480320.9723416667,469577.750825,479528.9315333333,504829.39339166664,520429.6611916667,539689.94145,568931.46495,589917.60755,596517.516875,596268.7175833334,655333.5175333333,692814.76635,700295.13258
10576,549554.8547333333,613585.0534583334,710653.3076833333,765990.678025,830128.8161416666,903528.6473166667,995210.0984666666,966589.7788583334,945660.0948583334,880035.7995416666,830801.824475,786331.856575,758647.1793916667,783790.8786416667,811465.6943666667,833827.9624,840131.7035333334,834876.7431333333,830193.8826083334,811125.6166333334,811590.36675,947051.25195,1084051.3355833334,1113047.673
10577,727467.988275,836174.1492916667,947849.897225,1033223.9451916667,1118710.69025,1221761.5335,1328389.7519166667,1309623.5944166668,1255640.3044166667,1179444.5756666667,1125281.54725,1110672.84175,1072924.00825,1081102.55975,1110049.511,1118369.9750833334,1119403.4841666666,1129586.0016666667,1158909.7186666667,1158879.1021666666,1172020.837,1342353.6930833333,1552762.3345833332,1659229.6602
