zipcode,agi11,agi12,agi13,agi14,agi15,agi16,agi17,agi18,agi19,agi20
13350,28708.747181157603,28777.555,29050.49625935162,29177.2075,29334.590330788804,29320.84358974359,30158.31713554987,31624.295454545456,32060.967581047382,33380.503703703704
13354,13192.900856793145,14598.030864197532,13391.962962962964,13706.098765432098,13970.2375,14488.685185185184,14948.348101265823,15972.85625,16633.379746835442,17247.1572327044
13355,2890.267701296548,3025.175,3059.4358974358975,3219.829268292683,3372.7,3430.475,3445.425,3365.7368421052633,3683.65,3861.15
13357,37088.54652823566,36536.32854209446,36187.45798319328,36378.12314225053,36603.966244725736,36482.56034482759,36703.47435897436,37743.31004366812,38930.6452991453,40331.835789473684
13360,3385.7094489866445,2187.318181818182,1783.5,1597.090909090909,2086.6666666666665,2181.7391304347825,2044.304347826087,2430.608695652174,2380.88,2811.913043478261
13361,2195.4874236377646,2198.074074074074,2406.230769230769,2528.103448275862,2542.448275862069,2108.5925925925926,2316.8571428571427,2307.785714285714,2370.266666666667,2652
13363,8894.97265370791,8893.017699115044,8952.781818181818,9336.216216216217,9882.472727272727,9973.981651376147,9350.154545454545,9732.514018691589,10147.24074074074,10752.954128440368
13365,26847.22353891732,27236.525606469004,27077.108991825615,27436.33698630137,27780.964673913044,28526.72086720867,29338.063829787236,30381.17158176944,31433.172413793105,32938.95275590551
13367,27874.65172507471,27799.972451790632,27652.204419889502,28119.840220385675,28598.071625344353,28205.209497206703,28960.56786703601,30235.936288088644,32058.109589041094,32534.260752688173
13368,3987.666543671721,4001.1481481481483,4032.6111111111113,4164.145454545454,4160.925925925926,4173.509433962264,4195,4517.115384615385,4434.632653061224,4631.320754716981
13402,5010.5952727751255,4998.338461538461,5141.615384615385,5246.298507462687,5369.166666666667,5521.257575757576,5813.046153846154,5807.575757575758,6168.940298507463,6770.940298507463
13403,20508.7722513089,21001.140969162996,21077.986842105263,21787.515418502204,21696.433734939757,22148.436,23696.279069767443,24466.953125,25900.896153846155,26092.931034482757
13406,2580.4212292290126,2396.4,2347.266666666667,2288.862068965517,2336.214285714286,2236.074074074074,2124.92,2407.16,2643.6153846153848,2527.846153846154
13407,18674.21730373404,18693.172839506173,18721.14876033058,18971.331967213115,19433.35802469136,19063.504201680673,19896.966804979253,20232.586497890294,20444.418032786885,21173.700819672133
13408,8717.247489751102,8958.80357142857,9444.55357142857,9900.61946902655,9300.345454545455,9313.018181818183,9667.153153153153,10354.19642857143,10641.366972477064,11067.036036036036
13409,8446.524958959111,8566.072727272727,8749.154545454545,8785.45871559633,8847.5,8929.40909090909,9337.607142857143,9193.02752293578,9816.81981981982,10514.561403508771
13411,10648.584515888813,10413.741007194245,10008.155555555555,10235.880597014926,10177.795454545454,10672.948529411764,10634.925925925925,11259.021582733812,11464.166666666666,12386.013888888889
13413,75242.18197190427,79057.45854922279,82238.06803594352,87887.84948979592,91309.24935732648,91667.5621761658,97274.18217054264,101966.77564102564,110268.60847240052,108038.980964467
13416,7577.985410606012,8054.852631578948,8203.757894736842,8446.302083333334,8873.463917525773,9398.98969072165,9664.74,10195.18,9395.594059405941,11418.85
13417,13663.730845371469,13787.372093023256,13160.845238095239,13696.988372093023,14146.891428571429,14686.417142857143,14640.21511627907,14471.35294117647,14612.936416184972,15609.070588235294
13418,1617.894087189938,NA,NA,NA,NA,NA,NA,NA,NA,1712.5
13420,6657.012805822465,6186.421686746988,6222.428571428572,6410.5625,6478.036585365854,6516.4047619047615,7082.211764705882,7284.116279069767,7420.364705882353,7741.860465116279
13421,46014.089094908864,46112.847723704865,46268.0458135861,47539.755485893416,48461.66823899371,48417.46054750402,48786.82875605816,50141.6935483871,53128.488853503186,53934.03453689168
13424,9254.0375796855,9842.761467889908,10177.17117117117,10551.736363636364,10560.675925925925,10526.266055045871,10028.473214285714,10548.070796460177,10867.368421052632,11578.526315789473
13425,7081.773842256703,6958.568181818182,7231.197802197802,7288.022727272727,7248.89010989011,7202.211111111111,7570.505617977528,7822.842696629214,7762.402298850575,8659.988888888889
13428,4871.368750607249,5146.4098360655735,5182.578125,5210.661538461539,5204.919354838709,5150.0161290322585,5408.935483870968,5503.492063492064,5496.9047619047615,6022.765625
13431,7326.100981210308,7328.696629213483,7987.202247191011,8283.651685393259,8773.516483516483,8863.18888888889,9922.7,8650.730337078652,8985.829545454546,9703.351648351649
13433,5290.427884059948,5055.088235294118,5109.4647887323945,4961.382352941177,5222.45205479452,5233.357142857143,5392.347222222223,5593.87323943662,5629.25,6021.378378378378
13437,2685.5265017453034,1815.4285714285713,1848.6666666666667,1928.35,1746.6315789473683,1828.1904761904761,1873.5263157894738,1796.9444444444443,1816.9444444444443,1741.2
13438,13679.097632512081,14310.652694610779,14594.407185628743,14358.524096385541,14510.886904761905,14526.130952380952,15195.706586826347,15797.723926380368,16606.22891566265,17085.380116959066
13439,13581.537488468042,13079.531073446327,12912.318181818182,13147.774566473989,13274.686046511628,13149.809248554913,13417.916666666666,13916,14506.953488372093,15398.803468208092
13440,137129.85650887573,137335.76548672566,136858.66427388182,138345.78929950358,141843.31833150383,142864.9728531856,148705.77655476058,152585.42307692306,156279.8934559221,163188.5192513369
13450,1728.9689586159163,2316.6428571428573,1615.5384615384614,1670.7692307692307,1237.923076923077,1257.9166666666667,1245.6666666666667,1283.8,1145.6,1244.6363636363637
13452,14894.420359478385,14485.268421052631,14238.823529411764,14953.917525773197,14932.394736842105,14883.037037037036,15340.746031746032,15712.888888888889,16223.666666666666,17007.66492146597
13454,2994.7551941229,2961.8888888888887,2529.3823529411766,2757.294117647059,2810.714285714286,2971.205882352941,3045.2727272727275,2985.054054054054,3238.054054054054,3456.5135135135133
13456,16113.660227835562,17042.678217821784,17205.273170731707,17352.50248756219,17757.04975124378,18332.71,19575.610837438424,20543.199004975126,21275.934673366835,22028.804020100502
