ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,GEOID
"17517",8600000US17517,"17517","90602132","2372792","42075003100"
"17579",8600000US17579,"17579","36055098","198575","42071013306"
"17579",8600000US17579,"17579","36055098","198575","42071014000"
"17579",8600000US17579,"17579","36055098","198575","42071014402"
"17579",8600000US17579,"17579","36055098","198575","42071013204"
"17579",8600000US17579,"17579","36055098","198575","42071014401"
"17579",8600000US17579,"17579","36055098","198575","42071014102"
"17579",8600000US17579,"17579","36055098","198575","42071013303"
"19056",8600000US19056,"19056","9516828","49735","42017105807"
"19056",8600000US19056,"19056","9516828","49735","42017100803"
"19056",8600000US19056,"19056","9516828","49735","42017106000"
"19056",8600000US19056,"19056","9516828","49735","42017100303"
"19056",8600000US19056,"19056","9516828","49735","42017100304"
"19056",8600000US19056,"19056","9516828","49735","42017100401"
"19056",8600000US19056,"19056","9516828","49735","42017100811"
"19056",8600000US19056,"19056","9516828","49735","42017100804"
"19056",8600000US19056,"19056","9516828","49735","42017100805"
"19056",8600000US19056,"19056","9516828","49735","42017100807"
"19056",8600000US19056,"19056","9516828","49735","42017100210"
"19056",8600000US19056,"19056","9516828","49735","42017100212"
"07833",8600000US07833,"07833","1146875","135653","42095018200"
"18347",8600000US18347,"18347","70053525","3458587","42079215300"
"18347",8600000US18347,"18347","70053525","3458587","42069112901"
"18347",8600000US18347,"18347","70053525","3458587","42089300313"
"18347",8600000US18347,"18347","70053525","3458587","42089300320"
"18347",8600000US18347,"18347","70053525","3458587","42089300316"
"18347",8600000US18347,"18347","70053525","3458587","42089300312"
"18347",8600000US18347,"18347","70053525","3458587","42089300311"
"07881",8600000US07881,"07881","61909734","1678377","42103950804"
"07881",8600000US07881,"07881","61909734","1678377","42103950803"
"07881",8600000US07881,"07881","61909734","1678377","42089301404"
"07881",8600000US07881,"07881","61909734","1678377","42103950701"
"08077",8600000US08077,"08077","20978853","2091058","42101989100"
"08077",8600000US08077,"08077","20978853","2091058","42101038100"
"13865",8600000US13865,"13865","285742723","3237225","42115032200"
"13865",8600000US13865,"13865","285742723","3237225","42115032300"
"08825",8600000US08825,"08825","75411260","877710","42017103900"
"18977",8600000US18977,"18977","13540801","1162313","42017105509"
"18977",8600000US18977,"18977","13540801","1162313","42017105401"
"18977",8600000US18977,"18977","13540801","1162313","42017105402"
"18977",8600000US18977,"18977","13540801","1162313","42017105508"
"17022",8600000US17022,"17022","142488827","576318","42071010701"
"17022",8600000US17022,"17022","142488827","576318","42071010702"
"17022",8600000US17022,"17022","142488827","576318","42071010601"
"17022",8600000US17022,"17022","142488827","576318","42071011102"
"17022",8600000US17022,"17022","142488827","576318","42071010501"
"17022",8600000US17022,"17022","142488827","576318","42071011101"
"17022",8600000US17022,"17022","142488827","576318","42071010803"
"17022",8600000US17022,"17022","142488827","576318","42071010804"
"17022",8600000US17022,"17022","142488827","576318","42071010602"
"17022",8600000US17022,"17022","142488827","576318","42043024105"
